Job Title,Perusahaan,Lokasi,Status Pekerjaan,Gaji,Description and Requirement,Bidang Pekerjaan
Appointed Actuary,PT PFI Mega Life Insurance ,"Jakarta Selatan, Jakarta Raya",Penuh waktu,,"Job Description:Reviewing and approving conventional and sharia reserve values, along with operational and actuarial reports.Reviewing and analyzing RBC, liability duration, liability projection, and financial projection.Preparing the Value of New Business (VNB) plan, including movement analysis.Preparing IFRS 17 implementation, including expenses allocation, analysis impact, etc.Collaborating with product / distribution / other related department in order to discuss product development.Reviewing pricing assumptions, profitability analysis, OJK filling, and renewal of Group Term Life (GTL) insurance.Reviewing and analyzing the experience study result (Mortality, Morbidity, Lapse, Partial Withdrawal, Premium Persistency, Expenses, Incurred But Not Reported (IBNR), and Economic Assumption), monitoring persistency and claim ratio.Reviewing Value of New Business (VNB) calculation and Annual Premium Equivalent (APE) report.Preparing reinsurance report, including reviewing reinsurance treaty, reinsurance reconciliation, and reinsurance payment.Qualification:Having Bachelor Degree in Actuarial / Mathematics / Statistics.Having minimum 7 years experience in actuarial functions (valuation, pricing, reinsurance, experience study, etc), preferably in Life Insurance industry.Having ASAI and FSAI certification.Having life insurance professional certification (AAMAI or LOMA) is preferred.Having in-depth understanding of legal regulatory and documentation (OJK).Proficiency experience in handling Value of New Business (VNB).Good communication and negotiation skills.Good interpersonal & networking relationship.Excellent analytical skills and thinking.Fluent in English (verbal and written).",Aktuaria (Asuransi & Dana Pensiun)
Oracle Database Administrator,PT Lawencon Internasional,"Jakarta Selatan, Jakarta Raya",Penuh waktu,,"Help design, implement, and maintain Oracle databasesComplete SQL and other shell scriptingIdentify and troubleshoot performance issuesConfigure Data Guard dan ClusteringMonitor major data movement processesEnsure information securityBack up information for data recoveryTrain non-technical employees on how to access the databaseProvide database support to employees as needed
RequirementsBachelor’s degree in computer engineering or computer science.3 years of professional experience administering Oracle Databases & PostgreSQLFamiliarity with Oracle & PostgreSQL database High availability design and documentation.Experience using Oracle Data Guard / Fast Start FailoverKnowledge of database backup procedures and recovery systemsComplete SQL and other shell scriptingAbility to visualize algorithmic structuresExcellent communication and problem-solving skillsExperience in all aspects of Oracle implementationExperienced with Replication, Clustering, TuningExperience with Linux/Unix and Windows operating systemsCertification in Oracle database administration a plusAnalytical skillsTechnical communication skills",Pengembangan & Administrasi Database (Teknologi Informasi & Komunikasi)
Data Analyst,PT Alternative Media Group ,"Jakarta Selatan, Jakarta Raya",Penuh waktu,,"Minimal S1 dari jurusan statistik, matematika, atau teknik informatika.Menganalisis data dan informasi bisnis dari berbagai sumber untuk menghasilkan insight atas tren/pola dari data untuk mendukung pengambilan keputusan bisnis bagi para stakeholder.Mengidentifikasi, mengumpulkan, dan membersihkan data terstruktur maupun tidak terstruktur dari berbagai sumber untuk menyiapkan proses analisis data.Mengembangkan produk atau existing data untuk use case baru dalam analisis data.Menganalisis dan menginterpretasi data dalam jumlah besar dengan mempertimbangkan informasi bisnis terkait untuk mengidentifikasi dan memahami tren/pola data.",Manajemen (Penjualan)
Credit Marketing Officer (CMO) - Madiun,PT Tirta Rindang Unggul Ekatama Finance (TRUE FINANCE) ,"Madiun, Jawa Timur",Penuh waktu,,"Kualifikasi:Pendidikan DIII / S1 lebih diutamakan (Fresh Gradaute di persilahkan melamar) dengan IPK 2.75 (Skala 4.00)Usia Max 38 thnMemiliki pengalaman 1 tahun yang sama dibidangnyaMenguasai area dan bahasa daerah setempatMemiliki dan bisa mengendarai R2 + SIM C (SIM A diutamakan)Memiliki smartphone android & gmailMemahami digital marketingPenampilan rapiTidak ada riwayat kriminalSiap bekerja dengan targetMemiliki kemampuan analisa yang baikRequired Skill(s): Credit Analyst, Field Documentation, Collecting Data, Observer, SurveyorJob Des:Mencari aplikasi/menjual pembiayaan kepada calon nasabahMempromosikan produk perusahaan kepada seluruh rekanan/calon nasabahMemelihara hubungan baik dengan rekanan & nasabah.",Komunikasi Pemasaran (Pemasaran & Komunikasi)
Data Engineer Specialist,MAKA Motors,"Cikarang Pusat, Jawa Barat",Penuh waktu,,"Is this you?A bachelor's degree in Informatica, Computer Science, Information Systems, Software Engineering, or a related field.A minimum of 5 years of practical experience in Data Engineering, demonstrating a deep understanding of data management and engineering principles.Proficiency in a range of programming languages, including C, C#, Python, Java, and SQL, to effectively work with and manipulate data.Familiarity with server systems, cloud servers, and mobile platforms (Android/iOS) to support data engineering activities and adapt to different data environments.Strong work ethic and a passion for delivering high-quality results. Demonstrated respect from peers and colleagues, and a willingness to collaborate across departments or divisions to achieve the company's goals, reflecting a team-oriented mindset.
What a day at work for you will look likeDevelop and implement a comprehensive data engineering strategy that includes creating tools, structures, and methods for manufacturing data. Ensure the strategy aligns with the company's data standards and best practices.Implement rigorous data quality assurance processes, including strict adherence to Standard Operating Procedures (SOPs), technology and tools quality inspections, and staying updated with quality data trends to ensure that data meets Maka's standards.Take charge of data security by establishing robust measures to safeguard sensitive information. Ensure data compliance with relevant regulations and internal policies.Design and maintain data systems that enable efficient traceability of data for after-sales support and quality response time. Ensure data retrieval, transfer, backup, and storage are well-organized and accessible.Oversee the maintenance of server systems to support data engineering activities, ensuring that they run smoothly and efficiently.",Pengembangan & Administrasi Database (Teknologi Informasi & Komunikasi)
PORTFOLIO RISK ANALYST,PT Saison Modern Finance,"Jakarta Selatan, Jakarta Raya",Penuh waktu,,"Responsibilities:Monitoring & conducting detailed portfolio analysis daily.Analyzing monthly or ongoing project portfolio quality.Advising portfolio risk and preparing action taken needed.Preparing and developing portfolio reports, Understanding of financial ratio.Understand regulatory restrictions that may impact to portfolio management.Offer risk management on business analysis and research into business expertise area.
- Determine risks and opportunities within credit portfolio processes and strategy.Requirement:Min 3 years of experience working in Portfolio & Risk Management Team in Financing, Venture Capital and Fintech Companies.Good and strong knowledge of OJK for financing company industry processes and regulations.An analytical mindset with excellent excel & macro skills.Recommend strategies to limit risk and can provide a wide range of differing degrees of acceptable riskStrong interpersonal skills, good analytical, and detail-orientedGood command of English and computer literateFast, Adaptive, and willing to learn.",Kepatuhan & Resiko (Perbankan & Layanan Finansial)
CHEF (Surabaya / Makassar / Jakarta),YFK Kitchen,Jawa Timur,Penuh waktu,"Rp 5,000,000 – Rp 7,000,000 per month","Kualifikasi :Memiliki pegalaman sebagai CDP Min. 3 tahunMemiliki pengalaman sebagai Head Chef minimal 1 tahunMenguasai beberapa jenis masakan seperti : Western, Asian, Indonesia, dllBersedia ditempatkan di Surabaya atau MakassarBersedia bekerja FulltimePelaksanaan test food di lokasi penempatan atau di Jakarta untuk yang berdomisili jabodetabek",Chef/Koki (Hospitaliti & Pariwisata)
Manager Resto,Super Penyet Semarang,"Kabupaten Semarang, Jawa Tengah",Penuh waktu,Rp 5.000.000 – Rp 7.500.000 per month,"Qualifications & experience Pria/wanitaUsia Maksimal 40thPendidikan minimal SMA SederajadBerpengalaman bekerja sebagai Manager Resto/Cafe/Rumah makan minimal 1 tahunMampu dalam memimpin dan mengembangkan teamBersedia untuk penempatan di kab Semarang, jawa tengah   Tasks & responsibilities Mengontrol Seluruh team operasional memberikan pelayanan yang baik terhadap customer sehingga menghasilkan pencapaian revenue sesuai targetMengontrol dan memastikan Seluruh team bekerja sesuai dengan SOP sehingga kualitas produk dan pelayanan sesuai dengan standart yang sudah ditetapkanMengarahkan dan memastikan untuk team dalam melakukan efiensi untuk pengeluaran bulanan (biaya karyawan, Listrik dan bahan bahan pendukung) sehingga seluruh pengeluaran bisa tepat dalam penggunaannyMemastikan terjalin suasana kekeluargaan, saling menghargai antar karyawan sehingga tercipta kepuasan karyawan yang berakibat pada kenaikan performa kerja.Memastikan karyawan memahami visi misi & culture perusahaan sehingga karyawan memiliki pola pandang yang sesuai dengan kebijakan perusahaanMeningkatkan ketrampilan yang dibutuhkan team operasional melalui proses training internal sehingga dicapai peningkatan kemampuanMembuat laporan mingguan & bulanan secara baik dan teliti sehingga bisa dikirimkan secara akurat dan tepat waktu sehingga bisa digunakan sebagai data untuk pengembangan perusahaan.   Benefits Bonus Target",Manajemen (Hospitaliti & Pariwisata)
Pastry Chef And Baker Roti (Bakery Pattisserie Bread),PT MEKA EDUVERSITY KOMUNIKASI,"Jakarta Selatan, Jakarta Raya",Penuh waktu,"Rp 400,000,000 – Rp 430,000,000 per month","Job description
- Develop new and revised recipes.
- Improve product quality or cost by modifying current product formulations.
- Determine and measure ingredients
- Ensure raw materials for the R&D process
- Preparing food tests (R&D Example)
- Provide a review of recipes and serving methods
- Study methods to improve product quality such as taste, color, texture, nutritional value of food, etc

Condition:
-max age 35 years
-min 4 years experience in Pastry & Bakery R&D
-Have vendor relationships for kitchen needs
-Strong expertise in menu development & costing
-Have knowledge of Food Technology
-Excellent communication skills
-Following production trends, creative & innovative",Chef/Koki (Hospitaliti & Pariwisata)
CDP HOT KITCHEN & SOUS CHEF HOT KITCHEN,PT Pelangi Raya Group,"Bogor, Jawa Barat",Kontrak,,"Kriteria:
Usia 24-40 tahunPengalaman minimal 3 tahunDiutamakan minimal pendidikan D3 Perhotelan / Pariwisata / Manajemen HotelMempunyai keinginan untuk terus belajar lebih baik dari hari ke hariMenyukai tantangan, inovatif dan leadership yang baikMemahami ilmu dasar manajerialDapat bekerja di bawah tekananSelalu bersyukur, berpikir positif, bekerja dengan cepat dan tepatMempunyai semangat kuat untuk mencapai tujuanMenguasai masakan Indonesia dan masakan continental, modernMenguasai dan dapat membuat HACCPDapat menghitung Food CostDapat bekerja secara individual maupun team dalam proses pengolahan makananDapat bekerja dalam proses pengolahan makanan dengan volume besarTerbiasa bekerja dengan target dan deadlineBerpenampilan rapi dan bersihSehat Jasmani & RohaniRajin, jujur, disiplin, cepat tanggap, bertanggung jawab dan pekerja kerasAktif dan dapat berkomunikasi dengan baikDiutamakan yang bertempat tinggal di wilayah BOGORDiutamakan menguasi menu western",Chef/Koki (Hospitaliti & Pariwisata)
Head Chef,PT Mayora Indah Tbk ,Jakarta Raya,Penuh waktu,,"Deskripsi Pekerjaan:Pada posisi ini Anda akan memberikan arahan dalam persiapan, pembuatan menu, penentuan harga, mengelola persediaan makanan, mengelola tata letak dapur, dan memimpin pekerja yang terlibat dalam dapur.
Kualifikasi:Pendidikan min. SMK Perhotelan, Pariwisata, Tata Boga, dan sejenisnyaMemiliki pengalaman di restoran min. 8 tahunMemiliki pengalaman memimpin di restoran min. 3 tahunMemiliki pengalaman dalam pengolahan masakan shabu-shabuBersedia bekerja di area Jabodetabek",Chef/Koki (Hospitaliti & Pariwisata)
Cook,PT Nafeeza Radhya Bogatama,Jakarta Raya,Penuh waktu,,"Requirement :Usia 23 – 30 Tahun.Pendidikan S1/ D3/ D1 / SMK Jurusan Perhotelan / Culinary School / Tata Boga.Berpengalaman sebagai Cook (Japanese, Indonesian, Western Food) minimal 2 tahun.Paham mengenai HACCP, proses dan SOP produksi kitchen, tegas dan disiplin, komunikatif, teliti dan enerjik.Pengalaman minimal 1 tahun di dunia F&BDeskripsi PekerjaanMenyiapkan peralatan memasak yang akan dipergunakan.Menyiapkan bahan mentah yang akan diolah.Membersihkan dan menyimpan peralatan yang telah digunakan.Membantu chef dalam mengolah makanan.",Chef/Koki (Hospitaliti & Pariwisata)
Koki Cemilan- Koki meracik bumbu Snack,Media Cahaya Bintang,"Bandung, Jawa Barat",Penuh waktu,"Rp 4,000,000 – Rp 6,000,000 per month","PT Media Cahaya Bintang , menyediakan berbagai camilan. Saat ini kami mmebutuhkan karyawan untuk posisi koki yang berpengalaman dibidang camilanTanggung Jawab Pekerjaan :1.Memastikan kualitas makanan yang sangat baik dan disajikan tepat waktu dengan mempersiapkan sebelumnya.2.Merekomendasikan resep baru dengan bereksperimen dengan resep dan memeriksa tren pasar.3.Melakukan pengembangan resep4.Mencipatakan dan mengembangkan bumbu sesuai dengan jenis menu dan standarisasi bumbu bahan cemilan5.Mengelola dan menciptakan menu baru camilanKeahlian :1.memiliki pengalaman di bidang cemilan dalam pengolahan makanan ringan2. dapat mengetahui dasar bumbu produk dan pencicipan produk (seperti leher bebek, protein berbumbu, produk makanan ringan ikan, makanan ringan pedas, dll.)3.Memahami kebutuhan pelanggan secara akurat, memiliki kemampuan solusi yang baik, dan menyediakan produk yang disukai oleh pelanggan4.Memiliki kemampuan analisis rasa dan mampu berinovasi berdasarkan pemahaman karakteristik rasa dan karakteristik proses produk mainstream.5.Melakukan budgeting dan teliti untuk bahan yang digunakan agar mendapatkan warna, aroma, dan rasa terbaik.6.Meningkatkan higienis makanan dan memeriksa kualitas barang di gudang secara berkala untuk mencegah terjadinya keracunan makanan7.Lakukan tindakan pencegahan keamanan dan desinfeksi secara teratur8.Berdasarkan pemahaman mendalam tentang preferensi pengguna, pencarian definisi makanan dan rasanya,dikombinasikan dengan penerapan berbagai bahan, bumbu, rempah-rempah, dan teknik memasak, menciptakan dan meningkatkan produk dan rasanya yang membuat pengguna lebih puas.9.Mampu mengembangkan produk bahan dasar, bumbu, dan penyedap rasa secara mandiri, memahami proses produksi bumbu dan berbagai parameternya,mampu secara mandiri menyelesaikan proses produksi bumbu secara massal yang aman, serta memahami peralatan produksi bumbu dan 10.Prioritas untuk yang memiliki pengalaman dalam produksi katering atau bumbu atau pekerjaan penelitian dan pengembangan11.Creative dalam mengolah makanan
Kualifikasi :• Pendidikan terakhir minimal SMA/SMK sederajat• Pengalaman di membuat bumbu cemilan• Lebih di utamakan yang berpengalaman sebagai Chef dibidang camilan snackWaktu Bekerja :SENIN-SABTU (Jam 09.00-18.00)
Insentif :Bonus Dengan Kualifikasi",Chef/Koki (Hospitaliti & Pariwisata)
Industrial Catering Supervisor,PT Cendana Boga Rasa,"Banyuwangi, Jawa Timur",Penuh waktu,Rp 5.000.000 – Rp 7.500.000 per month,"PT Cendana Boga Rasa, sebuah perusahaan yang berpengalaman di industri jasa boga / catering mencari kandidat terbaik untuk posisi Industrial Catering Supervisor, yang berpengalaman di posisi yang sama atau di jasa catering untuk Tambang dan bersedia ditempatkan di lokasi Banyuwangi, Jawa Timur atau di seluruh wilayah Indonesia.Dengan persyaratan :Berpengalaman minimal 3 tahun di posisi yang sama.Memiliki Sertifikat HACCP (Lebih diutamakan).Berpengalaman Area Tambang (Lebih diutamakan).Menguasai Microsoft Office.Mampu berkomunikasi dengan baik.Menguasai bahasa Inggris (lebih diutamakan).Lulusan Minimal SMK/Sederajat.Mampu bekerja secara team work.Bersedia ditempatkan di Banyuwangi atau ditempat lain di seluruh Indonesia.Deskripsi Pekerjaan:
1.Mengelola seluruh kegiatan operasional dengan tujuan pelayanan dan penyajian jasa sesuai dengan permintaan client / pelanggan dan sesuai dengan keamanan dan standar yang ditetapkan.
2. Melakukan pengelolaan barang, pengendalian biaya dan standar kualitas agar tercapainya kepuasan pelanggan.
3. Melakukan pengawasan terhadap kegiatan staff.
4. Menyiapakan laporan rutin mingguan dan bulanan.
5. Membina hubugan baik dengan seluruh client / pelanggan. 
 Benefit :Gaji PokokMess/Tempat TinggalTunjangan MakanBPJSUniform & APD",Manajemen (Hospitaliti & Pariwisata)
COOK,PT. Surya Cipta Sempurna (SCS Group) ,"Jakarta Barat, Jakarta Raya",Penuh waktu,"Rp 3,800,000 – Rp 5,320,000 per month","KualifikasiUsia minimal 21 tahunMinimal Lulusan SMA/SMKMemiliki pengalaman minimal 2 tahunGesit, jujur, bertanggung jawabMemiliki attitude yg baikBersih dan rapiBersedia bekerja di weekend dan hari libur nasionalMampu bekerja sama dengan tim maupun bekerja individual
Gambaran PekerjaanMemasak dengan kualitas tinggi, rasa yang konsisten, dan penyajian yang cepat.Mempersiapkan bumbu sesuai standar gramasi, dan mempersiapkan bahan baku.Mengendalikan budget operasional dapur serta mengurangi pemborosanBerkomunikasi dengan owner untuk memahami preferensi owner dan menerima umpan balikMenjaga hubungan baik antar rekan kerja",Chef/Koki (Hospitaliti & Pariwisata)
TRAINER SENIOR KITCHEN,PT. Jabarano Jaya Buana,"Bandung, Jawa Barat",Penuh waktu,,"Requirements:- Max 35 years old- Candidate must possess at least diploma/bachelor degree in any major/related to Retail or F&B Industry- 3 years’ previous experience as a Chef De Partie/Head Chef and Trainer or related position in Retail/F&B Industry- Know about menus, raw materials, food preparation procedures, and overall F&B operation- Able to drsign, deliver, and broadcast effective and relevant traini9ng programs- Proficient computer skills, Microsoft Office- Strict adherence to company philosophy/mission statement/sales goals- Good interpersonal skills and communication with all levels of management- Organized and able to create multiple timelines, budgets, and schedules- Excellent leadership, team building, and management skills- Encouraging to team and staff, able to mentor and lead- Excellent verbal and written communication skillsResponsibilities:- Create training systems and programs (training strategies, initiatives, and materials)- Conceptualize training materials based on data and research (Communicate training needs)- Ensure that all training activities run meet targets- Creats and filing document all SOPs- Coordinate, monitor, and control operational and training standars- Supervise the performance of the leaders in the oulet- Develop a schedule to assess training needs- Test and review created materials- Instruct training- Conduct training through new materials- Review result training- Consult with management",Pelatihan & Pengembangan (Sumber Daya Manusia & Perekrutan)
General Affair Staff,PT Arya Noble ,Jakarta Raya,Penuh waktu,,"Responsibilities :Melakukan pemeriksaan dan pengecekan berkala terhadap fasilitas dan properti (AC, alat medis, genset, infrastruktur, dll) di lokasi yang menjadi tanggung jawabnya untuk menjaga kesiapan operasional. Mengajukan dan memproses baik perbaikan dan perawatan terhadap fasilitas dan properti di lokasi yang menjadi tanggung jawabnya sesuai dengan ketentuan yang adaMelakukan pengecekan terhadap keluhan atau komplain terhadap fasilitas dan properti dan memproses tindak lanjutnya sesuai dengan SOP dan ketentuan yang ada. Menjalin relasi dan komunikasi yang baik kepada pihak internal dan eksternal untuk menciptakan proses kerjasama yang baik. Melakukan pengawasan dalam proses pemeiliharaan dan perbaikan fasilitas dan properti yang dilakukan vendor sesuai dengan spesifikasi dan perjanjian yang berlakuMemproses kebutuhan administrasi terkait pemeliharaan dan perawatan dari fasilitas dan properti berserta perizinan bangunan yang dibutuhkan untuk menunjang operational excellence. Membuat laporan terkait pemeliharaan, perawatan, dan kesiapan fasilitas dan properti untuk dapat dievaluasi Requirement :D3 in Civil Engineering, Electrical Engineering0 - 1 years in related field as General Affairs Memiliki pengetahuan terkait izin bangunan.Microsoft Office (especially Ms. Power Point & Excel) Electrical Installation Building Management",Teknik Elektro/Elektronik (Teknik)
Geotechnical Engineer,PT. Seven Gates Indonesia,Jakarta Raya,Penuh waktu,,"Responsibilities
Carrying out dredging and reclamation work or similar.Analyzing slope stability and settlement and making reports in reclamation and dredging work.Review soil investigation data and create stratigraphy or long section soil.Work together with a team and guide the team in every job.Create a reclamation and dredging work plan.Conduct analysis using geotechnical software.Requirement
Minimum age 35 years.Minimum education: Bachelor degree in Geotechnical Civil Engineering/Water Civil Engineering/Oceanographic Engineering.Minimum 5 years work experience in construction.Willing to work at the Cilegon site.Proficient in using Plaxis software.Proficient in calculating slope stability and settlement.Ability to interact using English verbally and in writing.Mastering plaxis and/or Geo5 software.","Pertambangan – Eksplorasi & Geosains (Pertambangan, Sumber Daya Alam & Energi)"
Teknisi Listrik,PT Southern Chemicals & Engineering ,Jakarta Raya,Penuh waktu,,"Merencanakan desain kontrol kelistrikanMenghitung jumlah biaya pembuatan kontrol kelistrikanMenghitung jumlah biaya dan juga material yang digunakan untuk pemeliharaan, perbaikan ataupun pemasangan kontrol kelistrikanMelakukan perbaikan pada kontrol listrik yang mengalami kerusakanMengatasi gangguan ataupun masalah pada sistem kelistrikan  Requirements:Usia maksimal 35 tahunMampu  bekerja dalam tim maupun sendiriDiutamakan yang memiliki pengalaman di bidang yang sama minimal 2 tahunMenguasai PLC (dapat membuat program PLC lebih diutamakan)Pendidikan minimal STM / SMK jurusan teknisi listrikMemiliki inisiatif yang tinggiBersedia ditugaskan ke luar kota sesuai kebutuhan Alamat Kantor : Kantor Pusat di MarundaGaya Berpakaian : Resmi Kantor",Teknik Elektro/Elektronik (Teknik)
Engineer,PT. INDO THAI COCO INVESTAMA,"Jakarta Utara, Jakarta Raya",Penuh waktu,,"About usAt PT Indo Thai Coco Investama, we aim to create an eco-friendly and sustainable coconut ecosystem, we are committed to minimizing waste and maximizing the potential of this remarkable fruit.

Our extensive product range includes raw coconuts, copra, briquettes, active carbon, coconut husk, coco peat, coconut oil, desiccated coconut, coconut milk, coconut water, and much more. We aim to cater to diverse industries, providing them with the finest coconut-based solutions that are ethically sourced and sustainably produced.Qualifications & experienceMinimum bachelor degree (any field) in Engineering (Chemical), Engineering (Civil), Engineering (Environmental/Health/Safety), Engineering (Industrial), Engineering (Mechanical) or equivalent.Fluent in English both written and oralAt least 2 Year(s) of working experience in the related field is required for this position.Willing to travel frequently for 2 weeks each month.Able to design, estimate materials, and amount of labors needed for the designated project.Preferably Staff (non-management & non-supervisor) specialized in Engineering - Others or equivalent.Able to use microsoft office, autocad/other programs.Good behaviour and health records.

Tasks & responsibilitiesResponsible for ensuring the work process runs smoothly in accordance with applicable SOPs / work instructionsResponsible for supervising and ensuring operators operate machines/work tools according to standardsCarry out maintenance, inspection and repair of work machines/equipmentRecording reports on improvements and activities carried out periodicallyCommunicate with departmental units and between departments",Teknik Industri (Teknik)
Application Team Leader (Development/Operation & Maintenance),PT Nssol Systems Indonesia ,"Cilegon, Banten",Penuh waktu,,"Responsibilities:・Conduct requirement definition from gathering information from customer.・Design and document software program specifications.・Oversee software implementation, testing and migration (sometimes also conduct these tasks by yourself).・Work closely with stakeholders including customers, programmers and developers to build, improve the system.・Control the progress of project to ensure delivery within the defined cost and timeframe・Guarantee the quality of deliverables・Execute project management of small-scale project・Lead team members throughout projects to make successful delivery・Empower and motivate team members to perform to their full potential ・Identify business opportunities, devise project plans and propose them to customer・Plan and execute continual improvement of processes and methodologies to achieve higher productivity Qualifications*  (E) : Essential,   (D) : DesirableExperiences(E) Working as Programmer/System analyst at least 10 years(E) Experience at least 5 system development projects(E) Experience of application development using SQL(E) Experience of Managing team (at least 3 members) as Leader (E) Experience of Basic design(E) Experience of Developing Web Application by Java(D) Experience of Basic plan(D) Experience of Providing development environment (IDE, Source code management tool, Static test tool, etc.)(D) Experience of Operating and maintaining system (or Developing software) for manufacturing companies.(D) Experience of Manufacturing business area(D) Experience of working in Japanese companiesSkills and Others(E) Progress management skill(E) Quality management skill(E) Requirement definition skill(E) JAVA Web application development skill(E) Skill in RDBMS thus MySQL, MS SQL/Stored procedure, Oracle/PL SQL(D) Project management skill (Risk, Scope, Cost, etc.)(D) Coding skill of Java system (Since the actual application to develop and maintain is Java)(D) Design skill with complicated SQL would be advantage(D) Good interpersonal skill and the ability to support / lead and collaborate with a team(D) Positive attitude and ability to work in a team(D) Be able to work at Cilegon would be advantageEducation(E) Bachelor degree in Computer Science, Computer Engineering, IT, Business Computer, or related fieldLanguage(E) English: be able to read and write business documents, and communicate in business meeting(D) Japanese: simple communication Age(E) Up to 35 years old",Pemimpin Tim (Teknologi Informasi & Komunikasi)
SUPERVISOR ELECTRICAL,PT Industri Pembungkus Internasional,"Medan Area, Sumatera Utara",Penuh waktu,,"Job Qualifikasi============PENDIDIKAN/PENGALAMAN :JABATAN S-1 Teknik Elektro Pengalaman 1 tahun sbg Supervisor ElectricalUSIA : 25 - 35 tahunBersedia di tempatkan di Tanjung Morawa, Sumatera UtaraKARAKTER KHUSUS : a. Berjiwa Pemimpinb. Disiplinc. Tegasd. Bertanggung jawab
KEAHLIAN :a. Menganalisa dan mengolah datab. Merancang sistem preventif maintenance yang efektif & efisienc. Mengimplementasikan prosedur dan sistem keselamatan kerjad. Mengoperasikan Komputere. Pasif berbahasa Inggris.f. Berpengalaman di industri Manufacturing bidang kertas Tugas & Tanggung Jawab====================1.Menerima dan melaksanakan tugas-tugas yang diberikan oleh atasan. Membuat laporan kerja kepada atasan berdasarkan data yang akurat dan dapat dipertanggung jawabkan2. Melakukan pemantauan/pengontrolan hasil kerja anggota dilapangan3. Bertanggung jawab dalam perencanaan, pengimplementasian dan pengembangan proses/sistem kerja yang efisien dan efektif dari system electric , mencakup perencanaanuntuk perawatan dan perbaikan/modefikasi system electric.4. Mengembangkan dan menjalankan program-program kerja secara kesuluruhan baik jangka pendek maupun jangka panjang untuk menjamin perkembangan lingkup electrical5. Melakukan pembinaan terhadap bawahan untuk menambah pengetahuan & kemampuankhususnya pada system electric agar dapat bekerja secara mandiri maupun team.6. Membuat rencana kerja dan jadwal kerja bawahan.7. Pengecekan hasil kerja bawahan, menerima laporan dari bawahan dan semua pihakyang berhubungan dengan electric system.8. dll",Teknik Elektro/Elektronik (Teknik)
QA Engineer,PT TDK ELECTRONICS INDONESIA ,"Batam, Kepulauan Riau",Penuh waktu,,"Tasks and responsibilities To manage, Supervise and support in-process and final inspection of related products. Out going defective report  Judgement     Support the product group in Quality system certification.Customer complaint handlingCo-ordination of Q-team meeting to perform root-cuse analysis.Preparation of 8D reports Co-ordinate Corrective and preventive actionsWork procedure /sample board /OIP preparation within the product group QAReview process which are critical to customer claims ( C2C )Issue and review the document related with reporting of new specification of product release for internal circulation (related with product development)Preperation for audit.Prepare Monthly report.Experience: Experience in manufacturing sector, preferably in Quality control functionsExperience of working in ISO/TS 16949 or ISO 9001 Quality system environment",Uji Coba & Penjaminan Mutu (Teknologi Informasi & Komunikasi)
Technician Lampung,PT Hyundai Elevator Indonesia ,"Bandar Lampung, Lampung",Penuh waktu,,"JOB :Melaksanakan service rutin berdasarkan jadwal yang dibuat oleh manager depotMelakukan pengecekan terhadap seluruh fungsi unit untuk memastikan unit beroperasi dengan baik dan layakMenginformasikan ke manager depot bila ada sparepart yang memerlukan penggantianMemberikan laporan penggunaan jam kerja, laporan service dan laporan penggantian sparepart kepada manager depotMenangani keluhan pelanggan saat melakukan service rutinMenangani unit-unit callback atas perintah dari zone manager, manager depot maupun callback centerMelakukan pekerjaan-pekerjaan perbaikan dan penggantian sparepart atas perintah dari zone manager maupun dari manager depot Kualifikasi:Memiliki kemampuan komunikasi dan koordinasi yang cukupMemiliki pengetahuan teknis yang baikMemiliki SIO perawatanMinimal D1/D3 jurusan teknik mesin /sejenisPengalaman minimal 2 tahunBerpengalaman di dunia elevator escalator diutamakan",Teknik Elektro/Elektronik (Teknik)
BUILDING AND MAINTENANCE FACILITY,PT Kruger Ventilation Indonesia ,"Tangerang, Banten",Penuh waktu,Rp 5.000.000 – Rp 6.000.000 per month,"Deskripsi Pekerjaan :Responsible for managing building & facility team membersManage and control preventive maintenance, breakdown maintenance, problem solving, root cause analysis to prevent re-occuranceManage and control machine spareparts and purchase requisitionPerform kaizen at working areaImplement 5S & Safety Kualifikasi   :Min. D3 majoring in mechanical, or electrical engineeringMin. 5 years of working experience in Maintenance Building and MachineryMin. 5 years experince in manufacturingGood knowledge of utility machine & equipment (HVAC, compressor, electrical distribution system)Good personal and interpersonal skillsGood communication of English, written and spoken",Lainnya (Konstruksi)
